Code,Description,Unit,,,Category
GUP+,"Garage cabinetry - upper (wall) units, 24"" - High grade",EA,&,$196.54,
GLOW+,"Garage cabinetry - lower unit, 24"" - single door -High gr",EA,&,$249.78,
GDBNK+,"Garage cabinetry - drawer bank, 24"" - High grade",EA,&,$376.46,
GLOWD+,"Garage cab. - lower unit, 24"" w/door & drawer - High gr.",EA,&,$290.06,
GF36+,"Garage cab. - full height units, 36""x24"" - High grade",EA,&,$560.76,
GF36<+,"Garage cab. - full height units, 36""x18"" - High grade",EA,&,$472.55,
FILLSCR,"Filler/scribe board - 1"" x 4"" - hardwood",LF,&,$3.75,
GLASS,Display cabinets - glass,LF,&,$253.58,
BENCH-,Decorative wood bench - Standard grade,LF,&,$85.91,
BENCH,Decorative wood bench,LF,&,$96.03,
CUW24++,"Custom cabinets - wall units - up to 24"" tall - Prem grade",LF,&,$335.98,
CUW24+,"Custom cabinets - wall units - up to 24"" tall - High grade",LF,&,$203.84,
CUW24,"Custom cabinets - wall units - up to 24"" tall",LF,&,$132.07,
CUW42++,"Custom cabinets - wall units - 42"" tall - Premium grade",LF,&,$396.10,
CUW42+,"Custom cabinets - wall units - 42"" tall - High grade",LF,&,$246.72,
CUW42,"Custom cabinets - wall units - 42"" tall",LF,&,$157.74,
CUW36++,"Custom cabinets - wall units - 36"" tall - Premium grade",LF,&,$370.70,
CUW36+,"Custom cabinets - wall units - 36"" tall - High grade",LF,&,$229.26,
CUW36,"Custom cabinets - wall units - 36"" tall",LF,&,$147.47,
CUW30++,"Custom cabinets - wall units - 30"" tall - Premium grade",LF,&,$356.34,
CUW30+,"Custom cabinets - wall units - 30"" tall - High grade",LF,&,$217.55,
CUW30,"Custom cabinets - wall units - 30"" tall",LF,&,$140.16,
CUV++,Custom cabinets - vanity units - Premium grade,LF,&,$507.37,
CUV+,Custom cabinets - vanity units - High grade,LF,&,$293.26,
CUV,Custom cabinets - vanity units,LF,&,$182.77,
CUFH++,Custom cabinets - full height units - Premium grade,LF,&,$708.98,
CUFH+,Custom cabinets - full height units - High grade,LF,&,$461.61,
CUFH,Custom cabinets - full height units,LF,&,$286.01,
CUB++,Custom cabinets - base units - Premium grade,LF,&,$589.48,
CUB+,Custom cabinets - base units - High grade,LF,&,$326.17,
CUB,Custom cabinets - base units,LF,&,$202.83,
PNL++,"Custom cabinet panels - side, end, or back - Premium grade",SF,&,$29.56,
PNL+,"Custom cabinet panels - side, end, or back - High grade",SF,&,$23.06,
PNL+++,"Custom cabinet panels - side, end, or back - Deluxe grade",SF,&,$34.56,
PNL,"Custom cabinet panels - side, end, or back",SF,&,$20.06,
CTDK,Countertop subdeck - plywood,SF,&,$2.75,
CTDK-,Countertop subdeck - particle board,SF,&,$2.58,
CTFLPEW,Countertop edge treatment - wood,LF,#ERROR!,$6.01,
CTFLPE,Countertop edge treatment - laminate,LF,#ERROR!,$3.38,
CTBB,Countertop - wood - butcher block (hardrock maple),SF,&,$51.37,
CTST,Countertop - stainless steel,LF,&,$224.35,
CTSSR,Countertop - solid surface/granite - Reset,SF,#ERROR!,$8.98,
CTSSRS,Countertop - solid surface/granite - Detach & reset,SF,#ERROR!,$15.74,
CTSS++,Countertop - solid surface or Quartz - Premium grade,SF,&,$83.40,
CTSS+,Countertop - solid surface or Quartz - High grade,SF,&,$71.37,
CTSS-,Countertop - solid surface - Standard grade,SF,&,$48.38,
CTSSIN,Countertop - solid surface - Add for inlays,LF,#ERROR!,$17.62,
CTSSGL,Countertop - solid surface - Add for gloss finish,SF,#ERROR!,$12.59,
CTSS,Countertop - solid surface,SF,&,$56.99,
CTPF-,Countertop - post formed plastic laminate - Standard grade,LF,&,$28.59,
CTPFR,Countertop - post formed plastic laminate - Reset,LF,#ERROR!,$6.74,
CTPF++,Countertop - post formed plastic laminate - Premium grade,LF,&,$62.37,
CTPF>,Countertop - post formed plastic laminate - Oversized,LF,&,$55.03,
CTPF+,Countertop - post formed plastic laminate - High grade,LF,&,$53.98,
CTPFRS,Countertop - post formed plastic laminate - Detach & reset,LF,#ERROR!,$11.81,
CTPF,Countertop - post formed plastic laminate,LF,&,$45.05,
CTMSB,Countertop - metal support bracket - stainless steel,EA,&,$149.19,
CTGM-,Countertop - Granite or Marble - Standard grade,SF,&,$40.15,
CTGM++,Countertop - Granite or Marble - Premium grade,SF,&,$96.14,
CTGM+,Countertop - Granite or Marble - High grade,SF,&,$66.14,
CTGMP,Countertop - Granite or Marble - buff & polish,SF,#ERROR!,$8.36,
CTGM,Countertop - Granite or Marble,SF,&,$52.14,
CTFL-,Countertop - flat laid plastic laminate - Standard grade,LF,&,$29.59,
CTFLR,Countertop - flat laid plastic laminate - Reset,LF,#ERROR!,$6.74,
CTFL++,Countertop - flat laid plastic laminate - Premium grade,LF,&,$52.70,
CTFL>,Countertop - flat laid plastic laminate - Oversized,LF,&,$44.35,
CTFL+,Countertop - flat laid plastic laminate - High grade,LF,&,$41.92,
CTFLRS,Countertop - flat laid plastic laminate - Detach & reset,LF,#ERROR!,$11.81,
CTFL,Countertop - flat laid plastic laminate,LF,&,$37.63,
CTFL>+,Countertop - flat laid plastic lam. - Oversized - High gr,LF,&,$54.10,
CTFLP-,Countertop - flat laid laminate - laminate only - Stnd. gr,LF,#ERROR!,$24.32,
CTFLP++,Countertop - flat laid laminate - laminate only - Prem gr.,LF,#ERROR!,$31.43,
CTFLP+,Countertop - flat laid laminate - laminate only - High gr.,LF,#ERROR!,$27.50,
CTFLP,Countertop - flat laid laminate - laminate only,LF,#ERROR!,$25.52,
CTCON-,Countertop - concrete - Standard grade,SF,&,$74.72,
CTCON+,Countertop - concrete - High grade,SF,&,$109.72,
CTCON,Countertop - concrete,SF,&,$94.72,
CTTZ,Countertop - (terrazzo),SF,&,$72.56,
CLAST,Classroom cabinetry - Teacher cabinet - full height,LF,&,$287.59,
CLASS,Classroom cabinetry - storage cabinets - full height,LF,&,$287.59,
CLASCH,Classroom cabinetry - coat hook cabinet,LF,&,$124.03,
LAB,"Carpenter - Finish, Trim / Cabinet - per hour",HR,#ERROR!,$56.26,
REST,Cabinetry Restoration / Repair - (Bid Item),EA,#ERROR!,$0.00,
BIDITM,Cabinetry (Bid Item),EA,#ERROR!,$0.00,
UP--,Cabinetry - upper (wall) units - utility (unfinished),LF,&,$64.87,
UP-,Cabinetry - upper (wall) units - Standard grade,LF,&,$95.29,
UPR,Cabinetry - upper (wall) units - Reset,LF,#ERROR!,$21.53,
UP++,Cabinetry - upper (wall) units - Premium grade,LF,&,$217.04,
UPM,Cabinetry - upper (wall) units - mobile home,LF,&,$65.74,
UP+,Cabinetry - upper (wall) units - High grade,LF,&,$153.24,
UPRS,Cabinetry - upper (wall) units - Detach & reset,LF,#ERROR!,$35.91,
UP+++,Cabinetry - upper (wall) units - Deluxe grade,LF,&,$287.33,
UP,Cabinetry - upper (wall) units,LF,&,$114.45,
LOW--,Cabinetry - lower (base) units - utility (unfinished),LF,&,$81.32,
LOW-,Cabinetry - lower (base) units - Standard grade,LF,&,$121.34,
LOWR,Cabinetry - lower (base) units - Reset,LF,#ERROR!,$25.16,
LOW++,Cabinetry - lower (base) units - Premium grade,LF,&,$277.22,
LOWM,Cabinetry - lower (base) units - mobile home,LF,&,$83.47,
LOW+,Cabinetry - lower (base) units - High grade,LF,&,$192.88,
LOWRS,Cabinetry - lower (base) units - Detach & reset,LF,#ERROR!,$41.99,
LOW+++,Cabinetry - lower (base) units - Deluxe grade,LF,&,$356.75,
LOW,Cabinetry - lower (base) units,LF,&,$157.12,
FUP-,Cabinetry - laminate upper (wall) units - Standard grade,LF,&,$72.57,
FUP+,Cabinetry - laminate upper (wall) units - High grade,LF,&,$117.28,
FUP,Cabinetry - laminate upper (wall) units,LF,&,$79.13,
TELL,Cabinetry - laminate teller casework,LF,&,$425.12,
QUE,Cabinetry - laminate queue station,LF,&,$258.79,
FLOW-,Cabinetry - laminate lower (base) units - Standard grade,LF,&,$88.53,
FLOW+,Cabinetry - laminate lower (base) units - High grade,LF,&,$202.32,
FLOW,Cabinetry - laminate lower (base) units,LF,&,$160.12,
MN,Cabinetry - Labor Minimum,EA,#ERROR!,$140.66,
LABL,Cabinetry - General Laborer - per hour,HR,#ERROR!,$30.21,
FH--,Cabinetry - full height units - utility (unfinished),LF,&,$101.57,
FH-,Cabinetry - full height unit - Standard grade,LF,&,$163.28,
FHR,Cabinetry - full height unit - Reset,LF,#ERROR!,$25.07,
FH++,Cabinetry - full height unit - Premium grade,LF,&,$368.83,
FH+,Cabinetry - full height unit - High grade,LF,&,$310.14,
FHRS,Cabinetry - full height unit - Detach & reset,LF,#ERROR!,$41.80,
FH+++,Cabinetry - full height unit - Deluxe grade,LF,&,$451.70,
FH,Cabinetry - full height unit,LF,&,$261.13,
AG-,Cabinetry - appliance garage - Standard grade,EA,&,$166.33,
AG++,Cabinetry - appliance garage - Premium grade,EA,&,$265.33,
AG+,Cabinetry - appliance garage - High grade,EA,&,$225.33,
AGRS,Cabinetry - appliance garage - Detach & reset,EA,#ERROR!,$61.46,
AG+++,Cabinetry - appliance garage - Deluxe grade,EA,&,$325.33,
AG,Cabinetry - appliance garage,EA,&,$190.33,
MISC,CABINETRY,,#ERROR!,$0.00,
VALRS,Cabinet valance - Detach & reset,LF,#ERROR!,$2.95,
VAL,Cabinet valance,LF,&,$43.89,
REF-,Cabinet refacing - Standard grade,SF,&,$20.46,
REF++,Cabinet refacing - Premium grade,SF,&,$36.48,
REF+,Cabinet refacing - High grade,SF,&,$31.91,
REF+++,Cabinet refacing - Deluxe grade,SF,&,$40.96,
REF,Cabinet refacing,SF,&,$24.27,
PLY++,"Cabinet panels - side, end, or back - Premium grade",SF,&,$19.76,
PLY+,"Cabinet panels - side, end, or back - High grade",SF,&,$16.80,
PLY,"Cabinet panels - side, end, or back",SF,&,$14.19,
KNPLRS,Cabinet knobs or pulls - Detach & reset,EA,#ERROR!,$1.58,
KNPL-,Cabinet knob or pull - Standard grade,EA,&,$6.29,
KNPL++,Cabinet knob or pull - Premium grade,EA,&,$15.04,
KNPL+,Cabinet knob or pull - High grade,EA,&,$9.42,
KNPL+++,Cabinet knob or pull - Deluxe grade,EA,&,$26.18,
KNPL,Cabinet knob or pull,EA,&,$7.34,
HINGS,Cabinet hinge - surface mount,EA,&,$5.21,
HINGC,Cabinet hinge - concealed,EA,&,$7.77,
DF-,Cabinet drawer front - Standard grade,SF,&,$16.62,
DF++,Cabinet drawer front - Premium grade,SF,&,$31.94,
DF+,Cabinet drawer front - High grade,SF,&,$27.62,
DF+++,Cabinet drawer front - Deluxe grade,SF,&,$34.89,
DF,Cabinet drawer front,SF,&,$19.62,
D-,Cabinet door - Standard grade,SF,&,$12.99,
D++,Cabinet door - Premium grade,SF,&,$31.32,
D+,Cabinet door - High grade,SF,&,$25.11,
D+++,Cabinet door - Deluxe grade,SF,&,$37.62,
D,Cabinet door,SF,&,$18.26,
BARGF,Bar with granite top and front - Commercial,LF,&,$529.66,
BARGB,Bar with granite top - Commercial,LF,&,$435.51,
CTSBSR,Backsplash - solid surface - Unattached - Reset,LF,#ERROR!,$1.36,
CTSBSRS,Backsplash - solid surface - Unattached - Detach & reset,LF,#ERROR!,$2.36,
CTSSBS,Backsplash - solid surface - Unattached,LF,&,$13.17,
CTSSBS+,Backsplash - solid surface - Coved (seamless - permanent),LF,#ERROR!,$44.46,
BS,Backsplash - plastic laminate,SF,&,$5.83,
CTFBSR,Backsplash - flat laid plastic laminate - Reset,LF,#ERROR!,$1.36,
CTFBSRS,Backsplash - flat laid plastic laminate - Detach & reset,LF,#ERROR!,$2.36,
APNL--,"Appliance panel - 1/4"" finished veneer",SF,&,$17.09,
SB,Affixed restaurant table w/2 bench seats (6 person),EA,&,$741.01,
CTMITER,Add-on for mitered corner (Countertop),EA,#ERROR!,$57.08,
CTGE++,Add on Granite or Marble - edge treatment - Premium grade,LF,#ERROR!,$32.69,
CTGE+,Add on Granite or Marble - edge treatment - High grade,LF,#ERROR!,$21.95,
CTGE+++,Add on Granite or Marble - edge treatment - Deluxe grade,LF,#ERROR!,$56.92,
CTGE,Add on Granite or Marble - edge treatment,LF,#ERROR!,$12.80,
CTGMS,Add on for undermount sink cutout & polish - single basin,EA,#ERROR!,$73.17,
CTGMSD,Add on for undermount sink cutout & polish - double basin,EA,#ERROR!,$153.66,
RLOUT,Add on cost for roll out shelves,EA,#ERROR!,$81.80,
CTCONE+,Add on concrete countertop - edge treatment - High grade,LF,#ERROR!,$20.48,
CTCONE,Add on concrete countertop - edge treatment,LF,#ERROR!,$15.37,
GL+,"Add for leaded glass (standard design), per cabinet door",EA,#ERROR!,$64.86,
LZS+,Add for lazy susan - wood shelves,EA,#ERROR!,$179.97,
LZS++,Add for lazy susan - chrome shelves,EA,#ERROR!,$317.00,
LZS,Add for lazy susan,EA,#ERROR!,$62.00,
GALLEY,Add for galley rail per LF,LF,#ERROR!,$6.01,
GL,"Add for frosted/etched or beveled glass, per cabinet door",EA,#ERROR!,$45.09,
CROWN,Add for crown molding per LF,LF,#ERROR!,$5.28,
CTFSP6H,"6"" backsplash for flat laid countertop - Solid hardwood",LF,&,$8.62,
CTFSPL6,"6"" backsplash for flat laid countertop",LF,&,$9.97,
CTFSP4H,"4"" backsplash for flat laid countertop - Solid hardwood",LF,&,$7.53,
CTFSPL4,"4"" backsplash for flat laid countertop",LF,&,$7.53,
